Date,DayOfWeek,Month,Year,DateID
2021-09-30,3,9,2021,374
2021-10-01,4,10,2021,375
2021-10-04,0,10,2021,376
2021-10-05,1,10,2021,377
2021-10-06,2,10,2021,378
2021-10-08,4,10,2021,379
2021-10-09,5,10,2021,380
2021-10-11,0,10,2021,381
2021-10-13,2,10,2021,382
2021-10-14,3,10,2021,383
2021-10-15,4,10,2021,384
2021-10-18,0,10,2021,385
2021-10-19,1,10,2021,386
2021-10-21,3,10,2021,387
2021-10-22,4,10,2021,388
2021-10-25,0,10,2021,389
2021-10-27,2,10,2021,390
2021-10-29,4,10,2021,391
2021-11-02,1,11,2021,392
2021-11-03,2,11,2021,393
2021-11-04,3,11,2021,394
2021-11-05,4,11,2021,395
2021-11-08,0,11,2021,396
2021-11-09,1,11,2021,397
2021-11-12,4,11,2021,398
2021-11-15,0,11,2021,399
2021-11-18,3,11,2021,400
2021-11-24,2,11,2021,401
2021-12-01,2,12,2021,402
2021-12-03,4,12,2021,403
2021-12-06,0,12,2021,404
2021-12-07,1,12,2021,405
2021-12-08,2,12,2021,406
2021-12-09,3,12,2021,407
2021-12-13,0,12,2021,408
2021-12-14,1,12,2021,409
2021-12-15,2,12,2021,410
2021-12-22,2,12,2021,411
2021-12-28,1,12,2021,412
2022-01-03,0,1,2022,413
2022-01-05,2,1,2022,414
2022-01-06,3,1,2022,415
2022-01-07,4,1,2022,416
2022-01-10,0,1,2022,417
2022-01-11,1,1,2022,418
2022-01-17,0,1,2022,419
2022-01-18,1,1,2022,420
2022-01-20,3,1,2022,421
2022-01-24,0,1,2022,422
2022-01-28,4,1,2022,423
2022-02-01,1,2,2022,424
2022-02-02,2,2,2022,425
2022-02-04,4,2,2022,426
2022-02-05,5,2,2022,427
2022-02-07,0,2,2022,428
2022-02-09,2,2,2022,429
2022-02-10,3,2,2022,430
2022-02-11,4,2,2022,431
2022-02-14,0,2,2022,432
2022-02-15,1,2,2022,433
2022-02-16,2,2,2022,434
2022-02-17,3,2,2022,435
2022-02-18,4,2,2022,436
2022-02-21,0,2,2022,437
2022-02-22,1,2,2022,438
2022-02-23,2,2,2022,439
2022-02-24,3,2,2022,440
2022-02-25,4,2,2022,441
2022-02-26,5,2,2022,442
2022-02-28,0,2,2022,443
2022-03-01,1,3,2022,444
2022-03-02,2,3,2022,445
2022-03-03,3,3,2022,446
2022-03-04,4,3,2022,447
2022-03-07,0,3,2022,448
2022-03-08,1,3,2022,449
2022-03-09,2,3,2022,450
2022-03-10,3,3,2022,451
2022-03-11,4,3,2022,452
2022-03-14,0,3,2022,453
2022-03-15,1,3,2022,454
2022-03-16,2,3,2022,455
2022-03-17,3,3,2022,456
2022-03-18,4,3,2022,457
2022-03-21,0,3,2022,458
2022-03-22,1,3,2022,459
2022-03-25,4,3,2022,460
2022-03-26,5,3,2022,461
2022-03-28,0,3,2022,462
2022-03-29,1,3,2022,463
2022-03-30,2,3,2022,464
2022-03-31,3,3,2022,465
2022-04-01,4,4,2022,466
2022-04-04,0,4,2022,467
2022-04-12,1,4,2022,468
2022-04-14,3,4,2022,469
2022-04-18,0,4,2022,470
2022-04-22,4,4,2022,471
2022-04-25,0,4,2022,472
2022-04-26,1,4,2022,473
2022-04-27,2,4,2022,474
2022-04-28,3,4,2022,475
2022-05-02,0,5,2022,476
2022-05-04,2,5,2022,477
2022-05-06,4,5,2022,478
2022-05-07,5,5,2022,479
2022-05-09,0,5,2022,480
2022-05-11,2,5,2022,481
2022-05-12,3,5,2022,482
2022-05-16,0,5,2022,483
2022-05-17,1,5,2022,484
2022-05-18,2,5,2022,485
2022-05-19,3,5,2022,486
2022-05-20,4,5,2022,487
2020-01-31,4,1,2020,488
2020-02-06,3,2,2020,489
2020-03-03,1,3,2020,490
2020-04-02,3,4,2020,491
2020-04-25,5,4,2020,492
2020-05-24,6,5,2020,493
